Date		Distance	Duration	Heartbeat
2014-12-02	 2,612.12	0:14:57		157
2014-12-03	 2,543.73	0:14:44		154
2014-12-04	 2,894.14	0:16:05		166
2014-12-05	 2,104.95	0:13:10		153
2014-12-06	 2,589.88	0:14:04		154
2014-12-07	 2,593.83	0:13:40		159
2014-12-08	 2,762.78	0:15:00		164
2014-12-09	 2,903.00	0:15:23		158
2014-12-10	 2,861.73	0:15:23		160
2014-12-11	 2,667.15	0:14:39		162
2014-12-12	 2,816.52	0:16:27		159
2014-12-13	 2,891.78	0:17:09		155
2014-12-14	 5,010.92	0:27:50		172
2014-12-15	 2,653.74	0:15:18		162
2014-12-16	 2,582.53	0:15:28		165
2014-12-17	 3,324.46	0:19:00		165
2014-12-18	 3,047.86	0:17:28		166
2014-12-19	 2,877.81	0:17:23		150
2014-12-20	 2,590.60	0:15:06		158
2014-12-21	 2,731.62	0:16:49		154
2014-12-22	 2,638.66	0:16:31		157
2014-12-23	 2,777.71	0:16:23		152
2014-12-24	 2,608.62	0:15:07		153
2014-12-25	 2,837.79	0:16:19		153
2014-12-26	 2,601.68	0:15:01		154
2014-12-27	 7,240.51	0:45:26		165
2014-12-28	 7,154.47	0:43:22		166
2014-12-29	 2,560.04	0:14:43		159
2014-12-30	 2,604.72	0:15:53		151
2014-12-31	 4,105.57	0:27:02		161
